,SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11199,11200,14.002416,55.8164601,1386989.3,6188967.7,1.0,0.99,55995,817.62,28.74,438.73,21.05,185.07,13.67,55.34,7.48,61.17,7.86,125.2,11.24,90.8,9.58,121.89,11.09,13.33,3.67,8.35,2.9
11200,11201,14.0024598,55.8164225,1386992.0,6188963.5,1.0,0.98,56000,847.21,29.4,457.1,21.6,184.01,13.7,58.7,7.74,60.9,7.88,129.29,11.49,96.57,9.93,110.46,10.62,13.56,3.72,10.17,3.22
11201,11202,14.0025028,55.8163847,1386994.5,6188959.2,1.0,0.98,56005,872.6,29.85,469.65,21.9,182.77,13.66,63.67,8.06,58.71,7.74,132.58,11.64,99.05,10.06,100.64,10.14,13.35,3.69,12.86,3.62
11202,11203,14.0025436,55.8163461,1386997.0,6188954.9,1.0,0.99,56010,873.76,29.68,468.49,21.73,182.44,13.56,67.02,8.22,53.68,7.36,130.48,11.47,96.38,9.86,101.47,10.11,12.54,3.56,15.68,3.98
11203,11204,14.0025825,55.816307,1386999.3,6188950.4,1.0,1.01,56015,853.81,29.08,455.77,21.24,183.11,13.47,68.18,8.22,48.25,6.91,125.18,11.13,91.76,9.53,110.88,10.48,11.49,3.37,17.86,4.21
11204,11205,14.002621,55.8162676,1387001.6,6188946.0,1.0,1.02,56020,824.7,28.43,437.46,20.71,184.45,13.45,67.52,8.14,46.12,6.72,121.41,10.91,90.34,9.41,122.58,10.96,10.74,3.24,18.62,4.27
11205,11206,14.0026604,55.8162286,1387004.0,6188941.6,1.0,1.02,56025,799.1,28.05,420.18,20.34,186.04,13.54,65.71,8.04,49.09,6.95,122.23,10.97,94.22,9.63,130.97,11.36,10.64,3.24,17.61,4.16
11206,11207,14.0027019,55.8161903,1387006.5,6188937.2,1.0,1.0,56030,791.84,28.08,412.44,20.27,187.02,13.65,64.17,7.99,53.15,7.28,125.45,11.18,96.37,9.8,132.66,11.49,10.88,3.29,15.82,3.97
11207,11208,14.0027469,55.8161532,1387009.2,6188933.0,1.0,1.0,56035,817.2,28.61,422.59,20.57,186.53,13.67,64.41,8.03,53.4,7.31,128.01,11.32,88.5,9.41,124.91,11.18,11.07,3.33,14.44,3.8
11208,11209,14.0027942,55.816117,1387012.0,6188928.9,1.0,1.0,56040,867.21,29.45,445.78,21.11,184.56,13.58,66.08,8.13,49.75,7.05,128.66,11.34,74.15,8.61,111.37,10.55,11.25,3.35,13.93,3.73
