SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11353,14.0101924,55.8114153,1387462.2,6188393.5,1,0.98,56760,812.94,28.82,415.23,20.6,170.17,13.18,60.44,7.86,42.12,6.56,108.07,10.51,68.76,8.38,107.85,10.5,14.71,3.88,16.38,4.09
11354,14.0102649,55.8113966,1387466.6,6188391.3,1,0.99,56765,795.22,28.4,405.31,20.27,171.24,13.18,57.7,7.65,40.75,6.43,102.63,10.2,76.57,8.81,105.56,10.35,15.59,3.98,12.02,3.49
11355,14.0103367,55.8113769,1387471.1,6188389,1,1,56770,788.08,28.11,398.77,19.99,178.1,13.36,57.78,7.61,38.43,6.21,100.06,10.01,87.57,9.37,106.17,10.32,15.98,4,7.78,2.79
11356,14.0104083,55.8113572,1387475.5,6188386.7,1,1,56775,791.36,28.11,410.82,20.25,188.65,13.72,64.44,8.02,37.88,6.15,107.21,10.35,98.68,9.93,110.17,10.49,15.9,3.98,6.46,2.54
11357,14.0104801,55.8113377,1387480,6188384.4,1,1,56780,802.92,28.35,436.81,20.91,196.43,14.02,74.41,8.63,39.26,6.27,120.63,10.99,105.76,10.29,116.41,10.79,15.49,3.94,7.92,2.82
11358,14.0105518,55.811318,1387484.4,6188382.1,1,1,56785,819.41,28.61,460.49,21.45,192.45,13.87,80.29,8.96,41.26,6.42,130.86,11.43,104.09,10.2,122.8,11.08,14.92,3.86,10.31,3.21
11359,14.0106233,55.8112981,1387488.8,6188379.7,1,1.01,56790,837.27,28.78,469.23,21.55,174.28,13.13,77.97,8.78,42.76,6.5,131.81,11.42,92.48,9.57,127.42,11.23,14.35,3.77,12.12,3.46
11360,14.0106944,55.8112777,1387493.2,6188377.4,1,1.02,56795,852.37,28.92,460.44,21.25,157.17,12.42,72.16,8.41,43.25,6.51,126.65,11.15,79.33,8.82,128.85,11.24,13.86,3.69,12.82,3.55
11361,14.0107649,55.8112567,1387497.6,6188374.9,1,1.02,56800,860.8,29.1,434.62,20.68,157.41,12.45,68.56,8.21,42.46,6.46,119.89,10.86,73.74,8.52,125.86,11.13,13.53,3.65,12.14,3.46
11362,14.0108345,55.8112348,1387501.9,6188372.4,1,1.01,56805,861.65,29.28,407.49,20.13,171.13,13.05,67.92,8.22,41.26,6.41,114.21,10.66,75.27,8.65,118.34,10.85,13.62,3.68,11.08,3.32
11363,14.0109031,55.8112119,1387506.1,6188369.7,1,1,56810,856,29.28,403.51,20.1,182.32,13.51,67.98,8.25,41.21,6.42,111.17,10.55,77.77,8.82,106.97,10.35,14.43,3.8,11.38,3.38
11364,14.0109701,55.8111875,1387510.2,6188366.9,1,1,56815,847.09,29.11,425.51,20.63,183.79,13.56,67.96,8.24,42.79,6.54,111.95,10.58,78.26,8.85,95.2,9.76,15.63,3.95,13.47,3.67
11365,14.0110352,55.8111616,1387514.3,6188363.9,1,1,56820,840.89,29,448.58,21.18,179.81,13.41,69.08,8.31,45.09,6.72,117.3,10.83,77.99,8.83,90.01,9.49,15.98,4,16.09,4.01
11366,14.0110979,55.8111339,1387518.1,6188360.7,1,0.99,56825,841.65,29.12,453.27,21.37,174.85,13.27,71.9,8.51,47.26,6.9,126.64,11.3,78.63,8.9,95.89,9.83,14.81,3.86,17.93,4.25
11367,14.0111586,55.8111047,1387521.8,6188357.4,1,0.98,56830,846.74,29.35,445.85,21.3,171.62,13.21,74.32,8.69,49.11,7.07,134.87,11.71,82.35,9.15,107.7,10.47,13.44,3.7,17.77,4.25
11368,14.0112178,55.8110747,1387525.4,6188353.9,1,0.98,56835,852.1,29.49,438.19,21.15,172.34,13.26,73.75,8.68,50.58,7.19,136.08,11.79,91.29,9.65,118.23,10.99,13.64,3.73,14.49,3.85
11369,14.011276,55.811044,1387529,6188350.4,1,0.99,56840,856.05,29.48,436.36,21.05,176.95,13.4,70.69,8.47,51.59,7.24,130.68,11.52,102.67,10.21,123.28,11.19,15.6,3.98,9.13,3.04
11370,14.0113337,55.811013,1387532.5,6188346.9,1,1,56845,859.82,29.38,439.47,21,182.65,13.54,69.44,8.35,52.01,7.22,126.72,11.28,107.85,10.4,122.34,11.08,17.65,4.21,5.29,2.3
11371,14.0113917,55.8109822,1387536.1,6188343.3,1,1.01,56850,864.93,29.27,446.29,21.02,186.74,13.6,73.78,8.55,51.72,7.16,131.5,11.41,99.26,9.91,115.5,10.69,18.25,4.25,6.24,2.49
11372,14.0114498,55.8109514,1387539.6,6188339.8,1,1.02,56855,873.98,29.27,456.14,21.15,189.14,13.62,80.88,8.91,50.71,7.05,141.24,11.77,82.98,9.02,106.92,10.24,17.77,4.17,10.65,3.23
11373,14.0115081,55.8109207,1387543.2,6188336.3,1,1.02,56860,890.2,29.54,468.63,21.43,191.18,13.69,84.31,9.09,49.02,6.93,146.08,11.97,72.55,8.43,102.94,10.05,17.65,4.16,14.71,3.8
11374,14.0115663,55.8108901,1387546.8,6188332.8,1,1.01,56865,914.01,30.13,482.34,21.89,193.53,13.86,79.62,8.89,46.83,6.82,139.13,11.76,77.28,8.76,107.66,10.34,18.93,4.34,15.65,3.94
11375,14.0116247,55.8108595,1387550.3,6188329.3,1,0.99,56870,934.61,30.74,491.63,22.3,194.08,14.01,70.45,8.44,44.79,6.73,125.56,11.27,89.4,9.51,116.11,10.83,21.02,4.61,15.1,3.91
11376,14.0116833,55.810829,1387553.9,6188325.8,1,0.98,56875,938.47,30.97,489.86,22.38,190.11,13.94,62.44,7.99,43.71,6.68,113.51,10.77,96.94,9.95,121.08,11.12,22.91,4.84,15.77,4.02
11377,14.011742,55.8107986,1387557.5,6188322.3,1,0.98,56880,921.97,30.66,475.92,22.03,181.76,13.61,59.01,7.76,43.77,6.68,107.86,10.49,94.13,9.8,119.49,11.04,23.9,4.94,18.6,4.36
11378,14.0118004,55.810768,1387561.1,6188318.8,1,0.99,56885,898.88,30.12,458.39,21.51,174.4,13.27,59.61,7.76,44.11,6.67,107.66,10.42,86.22,9.33,115.54,10.8,23.8,4.9,21.41,4.65
11379,14.0118579,55.810737,1387564.6,6188315.3,1,1,56890,884.72,29.69,446.83,21.1,173.86,13.16,63.32,7.94,43.79,6.61,111.37,10.53,79.58,8.91,114.12,10.66,22.5,4.74,21.69,4.65
11380,14.0119143,55.8107053,1387568,6188311.7,1,1.01,56895,887.48,29.59,446.4,20.98,182.38,13.41,68.79,8.24,42.61,6.48,117.31,10.76,78.05,8.77,117.48,10.76,20.32,4.48,18.71,4.3
11381,14.0119701,55.8106732,1387571.4,6188308,1,1.02,56900,902.02,29.74,454.58,21.11,195.94,13.86,73.94,8.52,41.73,6.4,123.5,11,81.02,8.91,123.12,10.99,18.33,4.24,14.81,3.81
11382,14.0120256,55.810641,1387574.8,6188304.3,1,1.02,56905,921.85,30.07,468.03,21.43,209.87,14.35,76.65,8.67,42.43,6.45,127.96,11.2,87.48,9.26,128.07,11.21,17.68,4.16,12.62,3.52
11383,14.0120812,55.8106088,1387578.2,6188300.6,1,1.01,56910,942.21,30.5,483.66,21.85,220.67,14.76,76.01,8.66,45.21,6.68,129.67,11.31,95.81,9.73,130.43,11.35,18.79,4.31,13.64,3.67
11384,14.0121371,55.8105768,1387581.6,6188297,1,1,56915,962.7,30.96,498.91,22.28,227.76,15.06,74.24,8.6,48.65,6.96,130.09,11.38,103.05,10.13,131.01,11.42,20.15,4.48,16.41,4.04
